322723502782312448;" @silvioluiz: e e e...marin foi acusa  desviar verba publica, dizem arquivos da ditadura    #uol";0;-1;1
322723502782312448;" @silvioluiz: e e e...marin foi acusa  desviar verba publica, dizem arquivos da ditadura    #uol";0;0;1
322770014035906560;"@grupoebc Apenas 40% das obras em Confins estarão prontas para a Copa das Confederações http://t.co/AHYLfbt60f";0;-2;2
322793510732447744;"rei pele sera reforma seguin o padrao da copa  mun  2014  ";0;0;1
322793510732447744;"rei pele sera reforma seguin o padrao da copa  mun  2014  ";0;2;2
322793901159235584;"     to com o evento da copa das confederacoes to  enloquecen :(";-1;-1;1
322795111849271298;"mais  90% das obras para a copa das confederacoes, que comeca em 60 dias, nao esta pronta, segundo...  ";0;0;1
322798278183878656;"Governo garante 4G na Copa das Confederações:  http://t.co/L18kXZS9nO";0;1;1
322881225347981312;"acho que os caras me querem mesmo na copa das confederacoes... :)";1;-1;1
322894266118586368;"RT @tocontigo: Claudia Leitte (@claudialeitte), Luan Santana (@luansantana) e Thiaguinho farão shows em evento da Copa do Mundo... http: ...";0;0;2
322909953272737793;"luan ira participar fifa fan fests conjunto  eventos relacionados a copa  mun  2014. em sao paulo :(";-1;1;1
322910520111947776;" @aindavoutevels: luan ira participar fifa fan fests conjunto  eventos relacionados a copa  mun  2014. em sao paulo :(";-1;1;1
322912367832875008;"@radiobandnewsfm: a tecnologia 4g estara disponivel nas cidades se da copa das confederacoes ate o dia 30  abril. aha.";0;-1;1
322912367832875008;"@radiobandnewsfm: a tecnologia 4g estara disponivel nas cidades se da copa das confederacoes ate o dia 30  abril. aha.";0;1;1
322915800979759106;"Brasília na reta final para a Copa das Confederações http://t.co/oWSkoQM4QM #Agnelo_Queiroz";0;0;1
322915800979759106;"Brasília na reta final para a Copa das Confederações http://t.co/oWSkoQM4QM #Agnelo_Queiroz";0;1;1
322919604580130817;"que massa o luuu vai cantar na copa  mun  2014.   :) =)=d";1;1;1
323098561837420544;" @vidradaspelothi: claudia leitte, luan santana e  farao shows em evento da copa  mun  2014  ";0;0;1
323098561837420544;" @vidradaspelothi: claudia leitte, luan santana e  farao shows em evento da copa  mun  2014  ";0;1;1
323201994229698560;"segg que eu passo o nome  site pra comprar os ingressos para a copa das confederacoes";0;0;3
323203643224506368;" vamos com raca nessa copa das confederacoes , muita #ousadiaealegria vamoooo se campeaooooo caiaio :d:d";1;1;1
323233684226465794;"ingressos comprados, japao e italia copa das confederacoes! :))";1;1;1
323240148659761153;"sera que vai sair carta verde, ou rosa ou sei la da copa  mun  2014? :d ( ";1;1;1
323250366802190336;"parabens brasil, o melhor pais  mundo, nao tem corrupcao, tu aqui e perfeito, ""orgulho  ser brasileiro""!...  ";0;2;2
323415579778240512;"se a perrie estiver mesmo gravida  zayn os meninos da 1d nao vao poder vir para a copa  mun  2014,no brasil. por causa  baby. :(";-1;-1;1
323466437584900096;"nem vai dar pra mim ver a dhuu na copa das confederacoes :(( #raivaeterna";-1;-1;1
