nos vemos en #brasil2014 :d;1;;1
torcida grita o nome  neymar no maracana    ;;0;0
veja  :-)  ;1;;1
:(  @globoesportecom: lesao deve tirar balotelli da semi contra espanha :(  ;-1;;-1
depois  uma boa copa das confederacoes... serie b. :-(;-1;;-1
eu quiero ver a chile en #brasil2014 :(;-1;;-1
e neste sabado, para a alegria  quem tem o album da #copadasconfederacoes :)    ;1;1;1
partiu abertura da #copadasconfederacoes :)  ;1;1;1
eu adoro quan o neymar estimula a torcida pra torcer. :) #copadasconfederacoes;1;1;1
eu to com   #taiti :(  #copadasconfederacoes;-1;1;1
castelao lota hoje. mais se 60 mil pessoas. a torcida deu um show! :d #copadasconfederacoes @ arena  ;1;1;1
viva meu brasil, tetra campeao!! #copadasconfederacoes :d;1;1;1
brasil tetra campeao  #copadasconfederacoes :);1;1;1
falta somente 53 dias para a copa das confederacoes 2013. confira conosco  nossas novidades em brindes com o tema futebol! tel.:(11)50413169;-1;0;-1
"acho que to voluntario da copa merece um tablet durante a realizacao da copa das confederacoes :)#tabletparaosvoluntariosdacopa";1;;1
no album da copa das confederacoes o neymar esta loiro :));1;;1
exatamente 1 mes para o jogo na copa das confederacoes em recife :d;1;1;1
 osval fazen besteiro, so pq eu queria ve-lo na copa das confederacoes.. =(;-1;;-1
e olha que interessante... dia 20 tem jogo da copa das confederacoes aqui em salvador :d;1;1;1
que pena q o japao perdeu, tava dan show. melhor jogo da copa das confederacoes ate agora =);1;0;1
"italia 3 x 3 japao"" q jogao o melhor ate aqui na copa das confederacoes e obbb melhor  tu e no meu #nordeste :d";1;1;1
  odian a vida dela pq ela conseguiu ver meu bebe e eu nao :(;-1;0;-1
 @rede_globo: acompanhe no #globoesporte a cobertura completa da final da #copadasconfederacoes. vamos assistir juntos?;;1;1
copa  mun  2014 fdp. acabou com meu futebol.;;0;0
milhares  pessoas no brasil foram #praruabrasil e a #globo mostra #copadasconfederacoes ?? que isso cara???;;0;0
 @veja: copa das confederacoes no brasil tem 2 maior publico da historia  ;;1;1
powera ion4 sorteara bolas utilizadas na copa das confederacoes  ;;0;0
 @cbf_futebol: video: craques da selecao brasileira convocam torcida para a copa das confederacoes   ;;1;1
 @jooseanee: italia dan um cansaco na espanha, mas sempre lembro daquele ditado: quem nao faz, leva! #copadasconfederacoes;;1;1
 @marcusblognejo: diz a lenda que tem uma copa das confederacoes rolando.;;0;0
maracana sera reforma  novo apos realizacao da copa  mun  2014   o circo ainda custara mais! somos idiotas!;;0;0
 @estadao: fim  jogo: espanha vence uruguai por 2 a 1 na copa das confederacoes:  ;;0;0
felipao surpreen e convoca roberto carlos para copa das confederacoes;;0;0
 @luisdalmolin: japao e italia. melhor jogo da copa das confederacoes disparado. #vamojapao;;1;1
 @fifaworldcup_pt: todos em busca das quatro vagas: o que esperar das rodadas decisivas nas eliminatorias asiaticas para a #copa2014? htt;;1;1
veja quanto vale cada selecao que disputa a copa das confederacoes    ;;0;0
se o sub-21 da espanha tivesse vin jogar a copa das confederacoes ainda seriam favoritos! so jogador bom cara! #campeones <3;;1;1
"ira e coreia  sul se garantem na copa  mun  2014; uzbequistao aguarda repescagem. leia em  ";;1;1
"selecao agradece o carinho da torcida na copa das confederacoes ";;1;1
sem ronaldinho na selecao da copa das confederacoes... essa me surpreendeu... e  meu fluminense tem: cavalieri, jean e fred :);1;;1
meu deus mais ja :(  ele volta pra copa das confederacoes  ;-1;0;-1
  kkkkk vida :) bom jogo domingo lucas, tu merece garoto!! #brasil #copadasconfederacoes;1;1;1
olha a selecao que escalei pra copa das confederacoes! =) vinicios hanauer scolari kkkkkk  ;1;0;1
